,Flow_gpm,Level_in
5/7/2020 21:15,0,-1.107
5/7/2020 21:20,0,-1.107
5/7/2020 21:25,0,-1.147
5/7/2020 21:30,0,-1.147
5/7/2020 21:35,0,-1.147
5/7/2020 21:40,0,-1.147
5/7/2020 21:45,0,-1.147
5/7/2020 21:50,0,-1.187
5/7/2020 21:55,0,-1.187
5/7/2020 22:00,0,-1.187
5/7/2020 22:05,0,-1.187
5/7/2020 22:10,0,-1.187
5/7/2020 22:15,0,-1.187
5/7/2020 22:20,0,-1.187
5/7/2020 22:25,0,-1.187
5/7/2020 22:30,0,-1.187
5/7/2020 22:35,0,-1.217
5/7/2020 22:40,0,-1.187
5/7/2020 22:45,0,-1.217
5/7/2020 22:50,0,-1.217
5/7/2020 22:55,0,-1.217
5/7/2020 23:00,0,-1.257
5/7/2020 23:05,0,-1.217
5/7/2020 23:10,0,-1.217
5/7/2020 23:15,0,-1.217
5/7/2020 23:20,0,-1.257
5/7/2020 23:25,0,-1.257
5/7/2020 23:30,0,-1.257
5/7/2020 23:35,0,-1.217
5/7/2020 23:40,0,-1.297
5/7/2020 23:45,0,-1.257
5/7/2020 23:50,0,-1.257
5/7/2020 23:55,0,-1.297
5/8/2020 0:00,0,-1.297
5/8/2020 0:05,0,-1.217
5/8/2020 0:10,0,-1.257
5/8/2020 0:15,0,-1.257
5/8/2020 0:20,0,-1.297
5/8/2020 0:25,0,-1.297
5/8/2020 0:30,0,-1.297
5/8/2020 0:35,0,-1.297
5/8/2020 0:40,0,-1.297
5/8/2020 0:45,0,-1.337
5/8/2020 0:50,0,-1.377
5/8/2020 0:55,0,-1.377
5/8/2020 1:00,0,-1.337
5/8/2020 1:05,0,-1.337
5/8/2020 1:10,0,-1.337
5/8/2020 1:15,0,-1.337
5/8/2020 1:20,0,-1.337
5/8/2020 1:25,0,-1.337
5/8/2020 1:30,0,-1.337
5/8/2020 1:35,0,-1.377
5/8/2020 1:40,0,-1.337
5/8/2020 1:45,0,-1.377
5/8/2020 1:50,0,-1.377
5/8/2020 1:55,0,-1.417
5/8/2020 2:00,0,-1.377
5/8/2020 2:05,0,-1.417
5/8/2020 2:10,0,-1.417
5/8/2020 2:15,0,-1.417
5/8/2020 2:20,0,-1.417
5/8/2020 2:25,0,-1.417
5/8/2020 2:30,0,-1.417
5/8/2020 2:35,0,-1.457
5/8/2020 2:40,0,-1.457
5/8/2020 2:45,0,-1.457
5/8/2020 2:50,0,-1.457
5/8/2020 2:55,0,-1.417
5/8/2020 3:00,0,-1.187
5/8/2020 3:05,0,-0.987
5/8/2020 3:10,0,-0.947
5/8/2020 3:15,0,-0.907
5/8/2020 3:20,0,-0.947
5/8/2020 3:25,0,-0.947
5/8/2020 3:30,0,-0.947
5/8/2020 3:35,0,-0.947
5/8/2020 3:40,0,-0.987
5/8/2020 3:45,0,-1.027
5/8/2020 3:50,0,-0.787
5/8/2020 3:55,0,-0.397
5/8/2020 4:00,0,-0.077
5/8/2020 4:05,0.003,0.073
5/8/2020 4:10,0.035,0.193
5/8/2020 4:15,0.163,0.353
5/8/2020 4:20,0.709,0.633
5/8/2020 4:25,1.543,0.863
5/8/2020 4:30,2.664,1.063
5/8/2020 4:35,3.774,1.223
5/8/2020 4:40,4.334,1.293
5/8/2020 4:45,4.676,1.333
5/8/2020 4:50,4.676,1.333
5/8/2020 4:55,3.774,1.223
5/8/2020 5:00,3.19,1.143
5/8/2020 5:05,2.139,0.983
5/8/2020 5:10,1.543,0.863
5/8/2020 5:15,1.06,0.743
5/8/2020 5:20,0.709,0.633
5/8/2020 5:25,0.418,0.513
5/8/2020 5:30,0.341,0.473
5/8/2020 5:35,0.214,0.393
5/8/2020 5:40,0.163,0.353
5/8/2020 5:45,0.214,0.393
5/8/2020 5:50,0.418,0.513
5/8/2020 5:55,0.709,0.633
5/8/2020 6:00,0.922,0.703
5/8/2020 6:05,0.827,0.673
5/8/2020 6:10,1.06,0.743
5/8/2020 6:15,1.543,0.863
5/8/2020 6:20,1.37,0.823
5/8/2020 6:25,1.37,0.823
5/8/2020 6:30,1.543,0.863
5/8/2020 6:35,3.774,1.223
5/8/2020 6:40,7.514,1.613
5/8/2020 6:45,11.193,1.893
5/8/2020 6:50,12.253,1.963
5/8/2020 6:55,12.253,1.963
5/8/2020 7:00,10.052,1.813
5/8/2020 7:05,6.62,1.533
5/8/2020 7:10,5.032,1.373
5/8/2020 7:15,3.774,1.223
5/8/2020 7:20,2.664,1.063
5/8/2020 7:25,2.139,0.983
5/8/2020 7:30,1.927,0.943
5/8/2020 7:35,1.729,0.903
5/8/2020 7:40,1.543,0.863
5/8/2020 7:45,1.37,0.823
5/8/2020 7:50,1.37,0.823
5/8/2020 7:55,1.06,0.743
5/8/2020 8:00,1.209,0.783
5/8/2020 8:05,1.209,0.783
5/8/2020 8:10,1.209,0.783
5/8/2020 8:15,1.209,0.783
5/8/2020 8:20,1.209,0.783
5/8/2020 8:25,1.209,0.783
5/8/2020 8:30,1.06,0.743
5/8/2020 8:35,1.06,0.743
5/8/2020 8:40,0.922,0.703
5/8/2020 8:45,0.922,0.703
5/8/2020 8:50,0.709,0.633
5/8/2020 8:55,0.418,0.513
5/8/2020 9:00,0.341,0.473
5/8/2020 9:05,0.341,0.473
5/8/2020 9:10,0.214,0.393
5/8/2020 9:15,0.12,0.313
5/8/2020 9:20,0.085,0.273
5/8/2020 9:25,0.035,0.193
5/8/2020 9:30,0.02,0.153
5/8/2020 9:35,0.003,0.073
5/8/2020 9:40,0.003,0.073
5/8/2020 9:45,0.085,0.273
5/8/2020 9:50,0.214,0.393
5/8/2020 9:55,0.273,0.433
5/8/2020 10:00,0.273,0.433
5/8/2020 10:05,0.214,0.393
5/8/2020 10:10,0.163,0.353
5/8/2020 10:15,0.085,0.273
5/8/2020 10:20,0.02,0.153
5/8/2020 10:25,0.009,0.113
5/8/2020 10:30,0.003,0.073
5/8/2020 10:35,0.003,0.073
5/8/2020 10:40,0,-0.037
5/8/2020 10:45,0,-0.117
5/8/2020 10:50,0,-0.197
5/8/2020 10:55,0,-0.277
5/8/2020 11:00,0,-0.317
5/8/2020 11:05,0,-0.397
5/8/2020 11:10,0,-0.437
5/8/2020 11:15,0,-0.477
5/8/2020 11:20,0,-0.557
5/8/2020 11:25,0,-0.587
5/8/2020 11:30,0,-0.667
5/8/2020 11:35,0,-0.707
5/8/2020 11:40,0,-0.747
5/8/2020 11:45,0,-0.747
5/8/2020 11:50,0,-0.747
5/8/2020 11:55,0,-0.827
5/8/2020 12:00,0,-0.827
5/8/2020 12:05,0,-0.787
5/8/2020 12:10,0,-0.827
5/8/2020 12:15,0,-0.907
5/8/2020 12:20,0,-0.907
5/8/2020 12:25,0,-0.707
5/8/2020 12:30,0,-0.037
5/8/2020 12:35,0.601,0.593
5/8/2020 12:40,1.209,0.783
5/8/2020 12:45,0.922,0.703
5/8/2020 12:50,0.827,0.673
5/8/2020 12:55,0.601,0.593
5/8/2020 13:00,0.341,0.473
5/8/2020 13:05,0.273,0.433
5/8/2020 13:10,0.163,0.353
5/8/2020 13:15,0.085,0.273
5/8/2020 13:20,0.02,0.153
5/8/2020 13:25,0.009,0.113
5/8/2020 13:30,0.003,0.073
5/8/2020 13:35,0.001,0.043
5/8/2020 13:40,0,-0.077
5/8/2020 13:45,0,-0.237
5/8/2020 13:50,0,-0.237
5/8/2020 13:55,0,-0.357
5/8/2020 14:00,0,-0.437
5/8/2020 14:05,0,-0.517
5/8/2020 14:10,0,-0.627
5/8/2020 14:15,0,-0.627
5/8/2020 14:20,0,-0.667
5/8/2020 14:25,0,-0.707
5/8/2020 14:30,0,-0.787
5/8/2020 14:35,0,-0.747
5/8/2020 14:40,0,-0.827
5/8/2020 14:45,0,-0.907
5/8/2020 14:50,0,-0.867
5/8/2020 14:55,0,-0.947
5/8/2020 15:00,0,-0.947
5/8/2020 15:05,0,-0.907
5/8/2020 15:10,0,-0.947
5/8/2020 15:15,0,-0.987
5/8/2020 15:20,0,-1.067
5/8/2020 15:25,0,-0.987
5/8/2020 15:30,0,-1.027
5/8/2020 15:35,0,-1.067
5/8/2020 15:40,0,-1.067
5/8/2020 15:45,0,-1.067
5/8/2020 15:50,0,-1.107
5/8/2020 15:55,0,-1.027
5/8/2020 16:00,0,-1.067
5/8/2020 16:05,0,-1.107
5/8/2020 16:10,0,-1.107
5/8/2020 16:15,0,-1.147
5/8/2020 16:20,0,-1.067
5/8/2020 16:25,0,-1.107
5/8/2020 16:30,0,-1.067
5/8/2020 16:35,0,-1.107
5/8/2020 16:40,0,-1.187
5/8/2020 16:45,0,-1.147
5/8/2020 16:50,0,-1.107
5/8/2020 16:55,0,-1.147
5/8/2020 17:00,0,-1.187
5/8/2020 17:05,0,-1.147
5/8/2020 17:10,0,-1.147
5/8/2020 17:15,0,-1.187
5/8/2020 17:20,0,-1.187
5/8/2020 17:25,0,-1.147
5/8/2020 17:30,0,-1.147
5/8/2020 17:35,0,-1.147
5/8/2020 17:40,0,-1.107
5/8/2020 17:45,0,-1.147
5/8/2020 17:50,0,-1.147
5/8/2020 17:55,0,-1.187
5/8/2020 18:00,0,-1.187
5/8/2020 18:05,0,-1.217
5/8/2020 18:10,0,-1.187
5/8/2020 18:15,0,-1.217
5/8/2020 18:20,0,-1.217
5/8/2020 18:25,0,-1.217
5/8/2020 18:30,0,-1.257
5/8/2020 18:35,0,-1.257
5/8/2020 18:40,0,-0.787
5/8/2020 18:45,0,-0.477
5/8/2020 18:50,0,-0.437
5/8/2020 18:55,0,-0.397
5/8/2020 19:00,0,-0.357
5/8/2020 19:05,0,-0.357
5/8/2020 19:10,0,-0.317
5/8/2020 19:15,0,-0.357
5/8/2020 19:20,0,-0.357
5/8/2020 19:25,0,-0.357
5/8/2020 19:30,0,-0.357
5/8/2020 19:35,0,-0.317
5/8/2020 19:40,0.035,0.193
5/8/2020 19:45,1.06,0.743
5/8/2020 19:50,1.543,0.863
5/8/2020 19:55,1.543,0.863
5/8/2020 20:00,1.37,0.823
5/8/2020 20:05,1.209,0.783
5/8/2020 20:10,0.827,0.673
5/8/2020 20:15,0.505,0.553
5/8/2020 20:20,0.341,0.473
5/8/2020 20:25,0.273,0.433
5/8/2020 20:30,0.214,0.393
5/8/2020 20:35,0.163,0.353
5/8/2020 20:40,0.12,0.313
5/8/2020 20:45,0.12,0.313
5/8/2020 20:50,0.085,0.273
5/8/2020 20:55,0.085,0.273
5/8/2020 21:00,0.085,0.273
5/8/2020 21:05,0.085,0.273
5/8/2020 21:10,0.085,0.273
5/8/2020 21:15,0.057,0.233
5/8/2020 21:20,0.057,0.233
5/8/2020 21:25,0.057,0.233
5/8/2020 21:30,0.035,0.193
5/8/2020 21:35,0.02,0.153
5/8/2020 21:40,0.02,0.153
5/8/2020 21:45,0.057,0.233
5/8/2020 21:50,0.163,0.353
5/8/2020 21:55,0.505,0.553
5/8/2020 22:00,0.505,0.553
5/8/2020 22:05,0.341,0.473
5/8/2020 22:10,0.273,0.433
5/8/2020 22:15,0.214,0.393
5/8/2020 22:20,0.163,0.353
5/8/2020 22:25,0.163,0.353
5/8/2020 22:30,0.12,0.313
5/8/2020 22:35,0.12,0.313
5/8/2020 22:40,0.085,0.273
5/8/2020 22:45,0.035,0.193
5/8/2020 22:50,0.057,0.233
5/8/2020 22:55,0.163,0.353
5/8/2020 23:00,0.341,0.473
5/8/2020 23:05,0.505,0.553
5/8/2020 23:10,0.709,0.633
5/8/2020 23:15,0.601,0.593
5/8/2020 23:20,0.418,0.513
5/8/2020 23:25,0.341,0.473
5/8/2020 23:30,0.273,0.433
5/8/2020 23:35,0.214,0.393
5/8/2020 23:40,0.163,0.353
5/8/2020 23:45,0.12,0.313
5/8/2020 23:50,0.085,0.273
5/8/2020 23:55,0.163,0.353
5/9/2020 0:00,0.214,0.393
5/9/2020 0:05,0.341,0.473
5/9/2020 0:10,0.214,0.393
5/9/2020 0:15,0.273,0.433
5/9/2020 0:20,0.418,0.513
5/9/2020 0:25,0.418,0.513
5/9/2020 0:30,0.273,0.433
5/9/2020 0:35,0.273,0.433
5/9/2020 0:40,0.214,0.393
5/9/2020 0:45,0.214,0.393
5/9/2020 0:50,0.214,0.393
5/9/2020 0:55,0.273,0.433
5/9/2020 1:00,0.214,0.393
5/9/2020 1:05,0.214,0.393
5/9/2020 1:10,0.163,0.353
5/9/2020 1:15,0.163,0.353
5/9/2020 1:20,0.163,0.353
5/9/2020 1:25,0.273,0.433
5/9/2020 1:30,0.418,0.513
5/9/2020 1:35,0.709,0.633
5/9/2020 1:40,0.827,0.673
5/9/2020 1:45,0.709,0.633
5/9/2020 1:50,0.709,0.633
5/9/2020 1:55,0.601,0.593
5/9/2020 2:00,0.505,0.553
5/9/2020 2:05,0.418,0.513
5/9/2020 2:10,0.341,0.473
5/9/2020 2:15,0.273,0.433
5/9/2020 2:20,0.273,0.433
5/9/2020 2:25,0.505,0.553
5/9/2020 2:30,0.601,0.593
5/9/2020 2:35,0.505,0.553
5/9/2020 2:40,0.505,0.553
5/9/2020 2:45,0.418,0.513
5/9/2020 2:50,0.418,0.513
5/9/2020 2:55,0.341,0.473
5/9/2020 3:00,0.341,0.473
5/9/2020 3:05,0.273,0.433
5/9/2020 3:10,0.273,0.433
5/9/2020 3:15,0.273,0.433
5/9/2020 3:20,0.273,0.433
5/9/2020 3:25,0.273,0.433
5/9/2020 3:30,0.214,0.393
5/9/2020 3:35,0.341,0.473
5/9/2020 3:40,0.273,0.433
5/9/2020 3:45,0.341,0.473
5/9/2020 3:50,0.273,0.433
5/9/2020 3:55,0.214,0.393
5/9/2020 4:00,0.214,0.393
5/9/2020 4:05,0.214,0.393
5/9/2020 4:10,0.163,0.353
5/9/2020 4:15,0.163,0.353
5/9/2020 4:20,0.163,0.353
5/9/2020 4:25,0.12,0.313
5/9/2020 4:30,0.12,0.313
5/9/2020 4:35,0.085,0.273
5/9/2020 4:40,0.12,0.313
5/9/2020 4:45,0.085,0.273
5/9/2020 4:50,0.085,0.273
5/9/2020 4:55,0.12,0.313
5/9/2020 5:00,0.085,0.273
5/9/2020 5:05,0.085,0.273
5/9/2020 5:10,0.057,0.233
5/9/2020 5:15,0.085,0.273
5/9/2020 5:20,0.035,0.193
5/9/2020 5:25,0.035,0.193
5/9/2020 5:30,0.035,0.193
5/9/2020 5:35,0.035,0.193
5/9/2020 5:40,0.057,0.233
5/9/2020 5:45,0.035,0.193
5/9/2020 5:50,0.035,0.193
5/9/2020 5:55,0.02,0.153
5/9/2020 6:00,0.035,0.193
5/9/2020 6:05,0.035,0.193
5/9/2020 6:10,0.02,0.153
5/9/2020 6:15,0.02,0.153
5/9/2020 6:20,0.035,0.193
5/9/2020 6:25,0.035,0.193
5/9/2020 6:30,0.035,0.193
5/9/2020 6:35,0.057,0.233
5/9/2020 6:40,0.035,0.193
5/9/2020 6:45,0.057,0.233
5/9/2020 6:50,0.057,0.233
5/9/2020 6:55,0.057,0.233
5/9/2020 7:00,0.057,0.233
5/9/2020 7:05,0.057,0.233
5/9/2020 7:10,0.057,0.233
5/9/2020 7:15,0.057,0.233
5/9/2020 7:20,0.035,0.193
5/9/2020 7:25,0.057,0.233
5/9/2020 7:30,0.057,0.233
5/9/2020 7:35,0.057,0.233
5/9/2020 7:40,0.057,0.233
5/9/2020 7:45,0.035,0.193
5/9/2020 7:50,0.035,0.193
5/9/2020 7:55,0.035,0.193
5/9/2020 8:00,0.035,0.193
5/9/2020 8:05,0.02,0.153
5/9/2020 8:10,0.035,0.193
5/9/2020 8:15,0.035,0.193
5/9/2020 8:20,0.02,0.153
5/9/2020 8:25,0.035,0.193
5/9/2020 8:30,0.02,0.153
5/9/2020 8:35,0.035,0.193
5/9/2020 8:40,0.009,0.113
5/9/2020 8:45,0.009,0.113
5/9/2020 8:50,0.009,0.113
5/9/2020 8:55,0.003,0.073
5/9/2020 9:00,0.003,0.073
5/9/2020 9:05,0.003,0.073
5/9/2020 9:10,0.003,0.073
5/9/2020 9:15,0.003,0.073
5/9/2020 9:20,0.001,0.043
5/9/2020 9:25,0.003,0.073
5/9/2020 9:30,0.009,0.113
5/9/2020 9:35,0.009,0.113
5/9/2020 9:40,0.009,0.113
5/9/2020 9:45,0.009,0.113
5/9/2020 9:50,0.009,0.113
5/9/2020 9:55,0.02,0.153
5/9/2020 10:00,0.009,0.113
5/9/2020 10:05,0.02,0.153
5/9/2020 10:10,0.009,0.113
5/9/2020 10:15,0.009,0.113
5/9/2020 10:20,0.009,0.113
5/9/2020 10:25,0.009,0.113
5/9/2020 10:30,0.009,0.113
5/9/2020 10:35,0.009,0.113
5/9/2020 10:40,0.003,0.073
5/9/2020 10:45,0.003,0.073
5/9/2020 10:50,0.003,0.073
5/9/2020 10:55,0.003,0.073
5/9/2020 11:00,0.003,0.073
5/9/2020 11:05,0.003,0.073
5/9/2020 11:10,0.003,0.073
5/9/2020 11:15,0.003,0.073
5/9/2020 11:20,0.003,0.073
5/9/2020 11:25,0.001,0.043
5/9/2020 11:30,0.001,0.043
5/9/2020 11:35,0,0.003
5/9/2020 11:40,0,0.003
5/9/2020 11:45,0,-0.117
5/9/2020 11:50,0,-0.037
5/9/2020 11:55,0,-0.077
5/9/2020 12:00,0,-0.037
5/9/2020 12:05,0,-0.037
5/9/2020 12:10,0,-0.077
5/9/2020 12:15,0,-0.037
5/9/2020 12:20,0,-0.117
5/9/2020 12:25,0,-0.117
5/9/2020 12:30,0,-0.117
5/9/2020 12:35,0,-0.117
5/9/2020 12:40,0,-0.157
5/9/2020 12:45,0,-0.157
5/9/2020 12:50,0,-0.117
5/9/2020 12:55,0,-0.117
5/9/2020 13:00,0,-0.157
5/9/2020 13:05,0,-0.197
5/9/2020 13:10,0,-0.197
5/9/2020 13:15,0,-0.237
5/9/2020 13:20,0,-0.277
5/9/2020 13:25,0,-0.317
5/9/2020 13:30,0,-0.357
5/9/2020 13:35,0,-0.357
5/9/2020 13:40,0,-0.357
5/9/2020 13:45,0,-0.357
5/9/2020 13:50,0,-0.397
5/9/2020 13:55,0,-0.397
5/9/2020 14:00,0,-0.437
5/9/2020 14:05,0,-0.437
5/9/2020 14:10,0,-0.477
5/9/2020 14:15,0,-0.477
5/9/2020 14:20,0,-0.517
5/9/2020 14:25,0,-0.517
5/9/2020 14:30,0,-0.587
5/9/2020 14:35,0,-0.557
5/9/2020 14:40,0,-0.557
5/9/2020 14:45,0,-0.627
5/9/2020 14:50,0,-0.627
5/9/2020 14:55,0,-0.627
5/9/2020 15:00,0,-0.667
5/9/2020 15:05,0,-0.667
5/9/2020 15:10,0,-0.627
5/9/2020 15:15,0,-0.667
5/9/2020 15:20,0,-0.667
5/9/2020 15:25,0,-0.747
5/9/2020 15:30,0,-0.827
5/9/2020 15:35,0,-0.787
5/9/2020 15:40,0,-0.787
5/9/2020 15:45,0,-0.827
5/9/2020 15:50,0,-0.827
5/9/2020 15:55,0,-0.827
5/9/2020 16:00,0,-0.867
5/9/2020 16:05,0,-0.827
5/9/2020 16:10,0,-0.907
5/9/2020 16:15,0,-0.867
5/9/2020 16:20,0,-0.907
5/9/2020 16:25,0,-0.907
5/9/2020 16:30,0,-0.907
5/9/2020 16:35,0,-0.827
5/9/2020 16:40,0,-0.867
5/9/2020 16:45,0,-0.907
5/9/2020 16:50,0,-0.947
5/9/2020 16:55,0,-0.947
5/9/2020 17:00,0,-0.947
5/9/2020 17:05,0,-0.947
5/9/2020 17:10,0,-0.947
5/9/2020 17:15,0,-0.947
5/9/2020 17:20,0,-0.907
5/9/2020 17:25,0,-0.907
5/9/2020 17:30,0,-0.987
5/9/2020 17:35,0,-0.947
5/9/2020 17:40,0,-0.947
5/9/2020 17:45,0,-0.987
5/9/2020 17:50,0,-1.027
5/9/2020 17:55,0,-0.987
5/9/2020 18:00,0,-1.027
5/9/2020 18:05,0,-1.027
5/9/2020 18:10,0,-1.067
5/9/2020 18:15,0,-1.067
5/9/2020 18:20,0,-1.067
5/9/2020 18:25,0,-1.067
5/9/2020 18:30,0,-1.067
5/9/2020 18:35,0,-1.067
5/9/2020 18:40,0,-1.107
5/9/2020 18:45,0,-1.067
5/9/2020 18:50,0,-1.107
5/9/2020 18:55,0,-1.107
5/9/2020 19:00,0,-1.107
5/9/2020 19:05,0,-1.107
5/9/2020 19:10,0,-1.147
5/9/2020 19:15,0,-1.147
5/9/2020 19:20,0,-1.107
5/9/2020 19:25,0,-1.107
5/9/2020 19:30,0,-1.067
5/9/2020 19:35,0,-1.067
5/9/2020 19:40,0,-1.027
5/9/2020 19:45,0,-1.027
5/9/2020 19:50,0,-0.987
5/9/2020 19:55,0,-0.947
5/9/2020 20:00,0,-0.987
5/9/2020 20:05,0,-0.947
5/9/2020 20:10,0,-0.947
5/9/2020 20:15,0,-0.987
5/9/2020 20:20,0,-0.987
5/9/2020 20:25,0,-0.987
5/9/2020 20:30,0,-1.027
5/9/2020 20:35,0,-1.027
5/9/2020 20:40,0,-1.027
5/9/2020 20:45,0,-1.027
5/9/2020 20:50,0,-1.027
5/9/2020 20:55,0,-1.027
5/9/2020 21:00,0,-1.027
5/9/2020 21:05,0,-1.027
5/9/2020 21:10,0,-1.027
5/9/2020 21:15,0,-1.067
5/9/2020 21:20,0,-1.027
5/9/2020 21:25,0,-1.067
5/9/2020 21:30,0,-1.027
5/9/2020 21:35,0,-1.107
5/9/2020 21:40,0,-1.067
5/9/2020 21:45,0,-1.107
5/9/2020 21:50,0,-1.067
5/9/2020 21:55,0,-1.067
5/9/2020 22:00,0,-1.107
5/9/2020 22:05,0,-1.147
5/9/2020 22:10,0,-1.147
5/9/2020 22:15,0,-1.147
5/9/2020 22:20,0,-1.107
5/9/2020 22:25,0,-1.147
5/9/2020 22:30,0,-1.187
5/9/2020 22:35,0,-1.187
5/9/2020 22:40,0,-1.147
5/9/2020 22:45,0,-1.187
5/9/2020 22:50,0,-1.187
5/9/2020 22:55,0,-1.187
5/9/2020 23:00,0,-1.147
5/9/2020 23:05,0,-1.187
5/9/2020 23:10,0,-1.187
5/9/2020 23:15,0,-1.187
5/9/2020 23:20,0,-1.187
5/9/2020 23:25,0,-1.147
5/9/2020 23:30,0,-1.147
5/9/2020 23:35,0,-1.187
5/9/2020 23:40,0,-1.187
5/9/2020 23:45,0,-1.217
5/9/2020 23:50,0,-1.217
5/9/2020 23:55,0,-1.187
5/10/2020 0:00,0,-1.217
5/10/2020 0:05,0,-1.147
5/10/2020 0:10,0,-1.217
5/10/2020 0:15,0,-1.217
5/10/2020 0:20,0,-1.217
5/10/2020 0:25,0,-1.217
5/10/2020 0:30,0,-1.217
5/10/2020 0:35,0,-1.217
5/10/2020 0:40,0,-1.217
5/10/2020 0:45,0,-1.257
5/10/2020 0:50,0,-1.257
5/10/2020 0:55,0,-1.257
5/10/2020 1:00,0,-1.257
5/10/2020 1:05,0,-1.257
5/10/2020 1:10,0,-1.257
5/10/2020 1:15,0,-1.257
5/10/2020 1:20,0,-1.257
5/10/2020 1:25,0,-1.257
5/10/2020 1:30,0,-1.257
5/10/2020 1:35,0,-1.257
5/10/2020 1:40,0,-1.257
5/10/2020 1:45,0,-1.297
5/10/2020 1:50,0,-1.297
5/10/2020 1:55,0,-1.297
5/10/2020 2:00,0,-1.337
5/10/2020 2:05,0,-1.297
5/10/2020 2:10,0,-1.337
5/10/2020 2:15,0,-1.337
5/10/2020 2:20,0,-1.337
5/10/2020 2:25,0,-1.337
5/10/2020 2:30,0,-1.337
5/10/2020 2:35,0,-1.337
5/10/2020 2:40,0,-1.337
5/10/2020 2:45,0,-1.377
5/10/2020 2:50,0,-1.377
5/10/2020 2:55,0,-1.377
5/10/2020 3:00,0,-1.377
5/10/2020 3:05,0,-1.337
5/10/2020 3:10,0,-1.377
5/10/2020 3:15,0,-1.457
5/10/2020 3:20,0,-1.537
5/10/2020 3:25,0,-1.497
5/10/2020 3:30,0,-1.497
5/10/2020 3:35,0,-1.497
5/10/2020 3:40,0,-1.457
5/10/2020 3:45,0,-1.457
5/10/2020 3:50,0,-1.457
5/10/2020 3:55,0,-1.497
5/10/2020 4:00,0,-1.497
5/10/2020 4:05,0,-1.497
5/10/2020 4:10,0,-1.497
5/10/2020 4:15,0,-1.497
5/10/2020 4:20,0,-1.497
5/10/2020 4:25,0,-1.497
5/10/2020 4:30,0,-1.457
5/10/2020 4:35,0,-1.417
5/10/2020 4:40,0,-1.417
5/10/2020 4:45,0,-1.417
5/10/2020 4:50,0,-1.417
5/10/2020 4:55,0,-1.417
5/10/2020 5:00,0,-1.417
5/10/2020 5:05,0,-1.417
5/10/2020 5:10,0,-1.417
5/10/2020 5:15,0,-1.417
5/10/2020 5:20,0,-1.417
5/10/2020 5:25,0,-1.417
5/10/2020 5:30,0,-1.417
5/10/2020 5:35,0,-1.417
5/10/2020 5:40,0,-1.417
5/10/2020 5:45,0,-1.417
5/10/2020 5:50,0,-1.417
5/10/2020 5:55,0,-1.417
5/10/2020 6:00,0,-1.457
5/10/2020 6:05,0,-1.417
5/10/2020 6:10,0,-1.417
5/10/2020 6:15,0,-1.417
5/10/2020 6:20,0,-1.417
5/10/2020 6:25,0,-1.417
5/10/2020 6:30,0,-1.417
5/10/2020 6:35,0,-1.417
5/10/2020 6:40,0,-1.417
5/10/2020 6:45,0,-1.377
5/10/2020 6:50,0,-1.417
5/10/2020 6:55,0,-1.417
5/10/2020 7:00,0,-1.417
5/10/2020 7:05,0,-1.417
5/10/2020 7:10,0,-1.457
5/10/2020 7:15,0,-1.457
5/10/2020 7:20,0,-1.457
5/10/2020 7:25,0,-1.417
5/10/2020 7:30,0,-1.417
5/10/2020 7:35,0,-1.417
5/10/2020 7:40,0,-1.417
5/10/2020 7:45,0,-1.417
5/10/2020 7:50,0,-1.377
5/10/2020 7:55,0,-1.377
5/10/2020 8:00,0,-1.457
5/10/2020 8:05,0,-1.417
5/10/2020 8:10,0,-1.457
5/10/2020 8:15,0,-1.457
5/10/2020 8:20,0,-1.457
5/10/2020 8:25,0,-1.457
5/10/2020 8:30,0,-1.457
5/10/2020 8:35,0,-1.497
5/10/2020 8:40,0,-1.457
5/10/2020 8:45,0,-1.497
5/10/2020 8:50,0,-1.497
5/10/2020 8:55,0,-1.497
5/10/2020 9:00,0,-1.457
5/10/2020 9:05,0,-1.457
5/10/2020 9:10,0,-1.497
5/10/2020 9:15,0,-1.497
5/10/2020 9:20,0,-1.457
5/10/2020 9:25,0,-1.497
5/10/2020 9:30,0,-1.537
5/10/2020 9:35,0,-1.497
5/10/2020 9:40,0,-1.537
5/10/2020 9:45,0,-1.537
5/10/2020 9:50,0,-1.537
5/10/2020 9:55,0,-1.537
5/10/2020 10:00,0,-1.537
5/10/2020 10:05,0,-1.537
5/10/2020 10:10,0,-1.537
5/10/2020 10:15,0,-1.537
5/10/2020 10:20,0,-1.537
5/10/2020 10:25,0,-1.577
5/10/2020 10:30,0,-1.537
5/10/2020 10:35,0,-1.577
5/10/2020 10:40,0,-1.577
5/10/2020 10:45,0,-1.537
5/10/2020 10:50,0,-1.577
5/10/2020 10:55,0,-1.577
5/10/2020 11:00,0,-1.537
5/10/2020 11:05,0,-1.577
5/10/2020 11:10,0,-1.577
5/10/2020 11:15,0,-1.577
5/10/2020 11:20,0,-1.577
5/10/2020 11:25,0,-1.577
5/10/2020 11:30,0,-1.537
5/10/2020 11:35,0,-1.577
5/10/2020 11:40,0,-1.577
5/10/2020 11:45,0,-1.577
5/10/2020 11:50,0,-1.537
5/10/2020 11:55,0,-1.537
5/10/2020 12:00,0,-1.577
5/10/2020 12:05,0,-1.577
5/10/2020 12:10,0,-1.577
5/10/2020 12:15,0,-1.577
5/10/2020 12:20,0,-1.577
5/10/2020 12:25,0,-1.577
5/10/2020 12:30,0,-1.577
5/10/2020 12:35,0,-1.577
